Report Mai 2026 - alle Benutzer, gruppiert nach Tagen
Repos: ImagingTools/Acf, ImagingTools/AcfSln, ImagingTools/ImtCore, ImagingTools/Agentino

2026-05-01 (1 Commits)
- [ImagingTools/ImtCore] ff12962 | kucherenkord-cyber | Merge pull request #439 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] 140195f | Copilot | Add Members section to TenantEditor with FilterableSelectPopup and membersCount column to TenantCollectionView
- [ImagingTools/ImtCore] 14435a3 | Copilot | Fix Qt.rgba usage in MemberSelectElementView and move members into TenantData
- [ImagingTools/ImtCore] 150917b | Copilot | Harden empty tenant visibility filter
- [ImagingTools/ImtCore] 173266d | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] 195c966 | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] 1b7d7b1 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 1fb6219 | kucherenkord-cyber | Cosmetics
- [ImagingTools/ImtCore] 27169dc | Copilot | Add CTenantMembership and CTenantMembershipManagerComp classes
- [ImagingTools/ImtCore] 2e8a1c3 | Copilot | Generalize MemberSelectElementView into ItemSelectElementView — rename to generic properties (items, itemRemoved, etc.) for reuse with any entity type
- [ImagingTools/ImtCore] 3b30419 | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] 3f5f2a4 | Copilot | Add TenantMemberships SQL scripts and SDL schema
- [ImagingTools/ImtCore] 4211424 | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] 454c25a | Copilot | Add TenantMembership full-stack: SQL schema, SDL, C++ components (entity, manager, DB delegate, GQL controller), ACC configs, Pck registration
- [ImagingTools/ImtCore] 472bfa9 | Copilot | Add initial GitHub-like authorization interfaces: ITenantMembership, ITenantMembershipManager, IResourcePermission, ITeamPermission
- [ImagingTools/ImtCore] 575c8e8 | Copilot | Refactor TenantMemberRole: move inside ITenantMembership, ALL UPPERCASE values, I_DECLARE_ENUM, I_SERIALIZE_ENUM
- [ImagingTools/ImtCore] 5a74c6b | Copilot | Add universal multi-tenant data filtering infrastructure
- [ImagingTools/ImtCore] 5eea17f | kucherenkord-cyber | Build fixed
- [ImagingTools/ImtCore] 61c047d | Copilot | Extract member selection UI into reusable MemberSelectElementView.qml component
- [ImagingTools/ImtCore] 630c1d0 | Copilot | Add server-side memberIds population and sync in CTenantManagerControllerComp
- [ImagingTools/ImtCore] 7472500 | kucherenkord-cyber | Cosmetics
- [ImagingTools/ImtCore] 77be560 | Copilot | Refactor: move name resolution into ItemSelectElementView, add showCount property
- [ImagingTools/ImtCore] 7a00382 | Copilot | Move UtcNow/EscapeSql utility functions to imtdb.h and remove duplicates from delegates
- [ImagingTools/ImtCore] 8307d16 | Copilot | fix: prevent empty TenantId in membership operations by falling back to documentId
- [ImagingTools/ImtCore] 8902947 | Copilot | Add CTenantMembershipDbDelegateComp database delegate files
- [ImagingTools/ImtCore] 918e2f4 | Copilot | Wire TenantMembershipRepository into ACC configuration files
- [ImagingTools/ImtCore] 91a4593 | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] 9545ebe | Copilot | Refactor tenant collection filtering: move visibility logic from controller to DB delegate
- [ImagingTools/ImtCore] 9aa5b67 | Copilot | TenantEditor: remove Members header, simplify pendingMemberIds extraction
- [ImagingTools/ImtCore] 9b541f2 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 9b576f1 | Copilot | Address tenant visibility review feedback
- [ImagingTools/ImtCore] 9ccd2e6 | Copilot | Refactor ITenantMembershipManager: use ITenantMembershipUniquePtr instead of raw pointers
- [ImagingTools/ImtCore] 9fa5501 | Copilot | Use constants for tenant filter sentinels
- [ImagingTools/ImtCore] ac66b7c | Copilot | Refactor TeamMemberRole: UPPERCASE (TMR_MAINTAINER/TMR_MEMBER), move inside ITeamPermission, I_DECLARE_ENUM; add detailed component descriptions in Pck files
- [ImagingTools/ImtCore] b0cfac5 | Copilot | Refactor CTenantMembershipPublisherComp to observe ITenantMembershipManager (CTicketAssigneeNotifierComp pattern)
- [ImagingTools/ImtCore] b45ecf7 | Copilot | Fix code review issues: use configurable UserIdColumn in DocumentOwner strategy, fix doc reference
- [ImagingTools/ImtCore] b5e56bc | Copilot | Remove default collectionId from ItemSelectElementView — force consumers to set explicitly
- [ImagingTools/ImtCore] c959940 | Copilot | Fix: add updatedAt field to ITenantMembership interface, entity, DB delegate, and GQL controller responses
- [ImagingTools/ImtCore] cc2c31c | Copilot | Clarify tenant member scope filtering
- [ImagingTools/ImtCore] ce9f3cf | Copilot | Fix: add re-entry guard to prevent infinite loop in name resolution
- [ImagingTools/ImtCore] d2de724 | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] de3f62f | Copilot | Add TenantMembership publisher and subscription client for invitation notifications
- [ImagingTools/ImtCore] e2320fb | Copilot | Set ownerId on first save (immutable), auto-SaveDocument for existing tenants, hide Members for new tenants
- [ImagingTools/ImtCore] ea122b0 | Copilot | Fix MemberSelectElementView: remove unused signal, add popupClosed for deferred sync
- [ImagingTools/ImtCore] ea8a74f | kucherenkord-cyber | Merge branch 'copilot/propose-multi-tenant-architecture' of https://github.com/ImagingTools/ImtCore into copilot/propose-multi-tenant-architecture
- [ImagingTools/ImtCore] ea94675 | Copilot | Refactor tenant filter: replace strategy components with serializable CTenantFilterParam model
- [ImagingTools/ImtCore] f17ba04 | Copilot | Use tenant relation scope filter
- [ImagingTools/ImtCore] f359ffb | Copilot | Add CTenantDocumentNameProviderComp (by analogy with CTicketDocumentNameProviderComp)
- [ImagingTools/ImtCore] f932fea | Copilot | Fix review issues: track membershipId vs userId, only add new members in sync
- [ImagingTools/ImtCore] ff697ef | Copilot | Remove redundant static_cast in CTenantMembershipPublisherComp

2026-05-07 (37 Commits)
- [ImagingTools/ImtCore] 0f8a211 | Copilot | Add CJwtSessionControllerProxyComp component
- [ImagingTools/ImtCore] 18a8317 | Copilot | Add Organizations section to ProfileView with tenant switching, allow empty tenantId in SelectTenant for default scope
- [ImagingTools/ImtCore] 1976ccc | kucherenkord-cyber | Corrected
- [ImagingTools/ImtCore] 295d890 | Copilot | Simplify TenantEditor: use TenantData.memberRoles instead of separate GQL requests
- [ImagingTools/ImtCore] 29840e9 | Copilot | Simplify profile tenant role mapping
- [ImagingTools/ImtCore] 3697190 | Copilot | Unify profile tenant role assignment
- [ImagingTools/ImtCore] 3fd45ec | Copilot | Expose profile tenant organizations
- [ImagingTools/ImtCore] 485892a | Artur1309 | update mouse event, Row/Column, model/view
- [ImagingTools/ImtCore] 4c0fbd4 | Copilot | Make TenantId column conditional in PrepareInsertNewObjectQuery - only include when operationContextPtr has non-empty TenantId
- [ImagingTools/ImtCore] 4d7af9d | Copilot | Add TenantId column support: migration controller, SQL scripts, and document delegate filter integration
- [ImagingTools/ImtCore] 5752e6f | Copilot | Replace Organizations buttons with TableElementView in ProfileView.qml
- [ImagingTools/ImtCore] 5982164 | kucherenkord-cyber | Merge branch 'main' into copilot/propose-multi-tenant-architecture
- [ImagingTools/ImtCore] 68245be | Copilot | Replace Label+text:{} with description property and helper function in ProfileView.qml
- [ImagingTools/ImtCore] 6a16ae1 | Copilot | Fix trailing blank lines in tenant filter files
- [ImagingTools/ImtCore] 6c10f59 | Copilot | Add tenant selection session flow
- [ImagingTools/ImtCore] 71e9727 | Copilot | Fix TenantEditor members not updating locally after add/remove
- [ImagingTools/ImtCore] 75754a2 | Copilot | Refactor: extract isDefaultTenant property for consistency in ProfileView
- [ImagingTools/ImtCore] 78dc43f | Copilot | Add dynamic TenantId column migration in CUsersSessionsDatabaseDelegateComp::OnComponentCreated
- [ImagingTools/ImtCore] 7cafe88 | Copilot | Address profile tenant role review
- [ImagingTools/ImtCore] 7f1b11b | Copilot | Reset __membersModifiedLocally flag in onPopupClosed after doUpdateModel
- [ImagingTools/ImtCore] 84f1c47 | Copilot | Fix ItemSelectElementView: emit selectionChanged after chip removal so consumers stay in sync
- [ImagingTools/ImtCore] 8fb1969 | Copilot | Move TenantFilter logic from CreateAdditionalFiltersQuery to CreateFilterQuery in CSqlDatabaseDocumentDelegateComp
- [ImagingTools/ImtCore] 91c254f | Copilot | Add CRemoteProfileControllerComp following CRemoteTenantControllerComp pattern
- [ImagingTools/ImtCore] 933bfbf | Copilot | Set fallback profile tenant role
- [ImagingTools/ImtCore] 96d241c | Copilot | Add GetTenantFromJwt to Sessions.sdl and implement handlers in controllers
- [ImagingTools/ImtCore] a20e25f | Copilot | Simplify tenant filter params
- [ImagingTools/ImtCore] a635802 | Copilot | Add Default Tenant (empty tenantId) to GetProfile organizations list
- [ImagingTools/ImtCore] b020d89 | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] b595917 | Artur1309 | Merge pull request #447 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] c2318e5 | Copilot | Address code review feedback: use defaultRole constant, fix counter edge case
- [ImagingTools/ImtCore] c5b37aa | Copilot | Refactor CTenantFilterParam: simplify model, move helper to imtservergql, integrate into base controller
- [ImagingTools/ImtCore] cd6bc70 | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] d1cf8d2 | Copilot | Move ITenantFilterParam/CTenantFilterParam from imtdb to imtauth namespace
- [ImagingTools/ImtCore] d55ae58 | Copilot | Fix ItemSelectElementView to update items locally after selection/removal actions
- [ImagingTools/ImtCore] d576a58 | Copilot | Clarify tenant owner role precedence
- [ImagingTools/ImtCore] d81c785 | kucherenkord-cyber | Partitura corrected
- [ImagingTools/ImtCore] f876572 | Copilot | Add updateAllModels on tenant switch and member roles editor in TenantEditor

2026-05-08 (28 Commits)
- [ImagingTools/ImtCore] 01dd261 | Copilot | Fix TenantEditor role model and members write path
- [ImagingTools/ImtCore] 0349ca9 | Copilot | Address final invitation review feedback
- [ImagingTools/ImtCore] 038be46 | Copilot | Guard TenantEditor role model lookup
- [ImagingTools/ImtCore] 0d4e3df | Copilot | Refine invitation UI and timestamps
- [ImagingTools/ImtCore] 16014ff | Copilot | Add tenant invitation flow foundation
- [ImagingTools/ImtCore] 18379bb | kucherenkord-cyber | COde corrected
- [ImagingTools/ImtCore] 20a0eed | Copilot | Refactor: extract role population into loop, cache __getAvailableRoleNames in ComboBox
- [ImagingTools/ImtCore] 22e7730 | Copilot | Clarify TenantEditor doubled margins
- [ImagingTools/ImtCore] 2bcaa7c | Copilot | Add availableRoles to TenantData SDL, populate memberRoles and availableRoles from server, update TenantEditor to use server-provided roles
- [ImagingTools/ImtCore] 3baeb83 | Copilot | Remove collection document manager notification components
- [ImagingTools/ImtCore] 3fd0495 | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] 4da2393 | Copilot | Polish TenantEditor role layout helpers
- [ImagingTools/ImtCore] 721fd9f | Copilot | Clarify TenantEditor role helper names
- [ImagingTools/ImtCore] 9229024 | Copilot | Polish tenant invitation handling
- [ImagingTools/ImtCore] 940162a | kucherenkord-cyber | Code fix
- [ImagingTools/ImtCore] a4d9388 | Copilot | Address TenantEditor role review feedback
- [ImagingTools/ImtCore] a7cbc25 | Copilot | Clarify tenant binding table initialization
- [ImagingTools/ImtCore] af7b866 | Copilot | Use clear for TenantEditor SDL role lists
- [ImagingTools/ImtCore] b209bca | Copilot | Address invitation validation feedback
- [ImagingTools/ImtCore] bc754ab | Copilot | Ensure tenant binding table exists before inserts
- [ImagingTools/ImtCore] d432a1a | Copilot | Replace document tenant columns with bindings
- [ImagingTools/ImtCore] db2f657 | Copilot | Remove tenant binding migration code
- [ImagingTools/ImtCore] db46a7b | Copilot | Extract TenantEditor role row margins
- [ImagingTools/ImtCore] de0531d | kucherenkord-cyber | Merge pull request #442 from ImagingTools/copilot/propose-multi-tenant-architecture
- [ImagingTools/ImtCore] f753f43 | Copilot | Fix members/roles display: use SDL list API for structured types, add memberIds for write path
- [ImagingTools/ImtCore] f917ab0 | Copilot | Optimize TenantEditor member list refresh
- [ImagingTools/ImtCore] fbe761b | Copilot | Replace memberIds with members (id, name) in TenantData SDL; remove role fallbacks from TenantEditor
- [ImagingTools/ImtCore] fd34418 | kucherenkord-cyber | COsmetics

2026-05-09 (1 Commits)
- [ImagingTools/ImtCore] 1215bfb | Copilot | Add 3D visualization with Three.js web backend and QtQuick3D desktop backend (#425)

2026-05-10 (3 Commits)
- [ImagingTools/Acf] 630d7cf | dependabot[bot] | ci(deps): bump aquasecurity/trivy-action from 0.35.0 to 0.36.0
- [ImagingTools/Acf] f37eca9 | dependabot[bot] | ci(deps): bump actions/upload-pages-artifact from 4 to 5
- [ImagingTools/ImtCore] 6a796aa | Copilot | Fix TenantEntityBindings table not created before filter/selection queries

2026-05-11 (24 Commits)
- [ImagingTools/Acf] 66bca8b | dependabot[bot] | ci(deps): bump actions/dependency-review-action from 4 to 5
- [ImagingTools/ImtCore] 0322515 | Copilot | Run RegisterSubscription asynchronously via QtConcurrent
- [ImagingTools/ImtCore] 1ae4347 | Copilot | Store async subscription futures and keep const-safe guards
- [ImagingTools/ImtCore] 2876a6e | Copilot | Adapt imt3dgui CMake to compile RHI shaders like QMake (qsb + rcc)
- [ImagingTools/ImtCore] 30f9e6c | 0x435641 | Merge pull request #451 from ImagingTools/copilot/expand-createdocument-with-parameter
- [ImagingTools/ImtCore] 343e0e4 | ExternalVladimirCherepanov | CCollectionDocumentManagerBase corrected
- [ImagingTools/ImtCore] 3a66250 | Copilot | fix: clarify mutex protection for proposedSourceDocumentIds map access in SaveDocument
- [ImagingTools/ImtCore] 4531cf6 | Copilot | Fix malformed subscription error message format
- [ImagingTools/ImtCore] 4caf553 | Copilot | Add RequestManager dependency and dispatch RegisterSubscription responses
- [ImagingTools/ImtCore] 50bf9ff | Copilot | Fix MSVC build error in async QPointer guards
- [ImagingTools/ImtCore] 53ba4d3 | Copilot | Refine async future cleanup to avoid repeated removals
- [ImagingTools/ImtCore] 62fe66c | Copilot | Fix: make rcc dependency on .qsb files unconditional
- [ImagingTools/ImtCore] 6693080 | Copilot | Avoid fallback return when RequestManager send fails
- [ImagingTools/ImtCore] 6bba059 | Copilot | Fix CMake: remove GuiPrivate from find_package (not a component, target is auto-available)
- [ImagingTools/ImtCore] 703e59f | 0x435641 | Merge pull request #453 from ImagingTools/copilot/adapt-cmake-to-qmake
- [ImagingTools/ImtCore] 74c8b6f | Copilot | Generate pre-compiled .qsb shader files for RHI rendering
- [ImagingTools/ImtCore] 855a744 | Copilot | feat: CCollectionDocumentManagerBase uses proposedSourceDocumentId when adding document to collection
- [ImagingTools/ImtCore] 8ae897b | Copilot | Replace magic number in async future cleanup
- [ImagingTools/ImtCore] ac0463e | Copilot | Reduce async future cleanup overhead
- [ImagingTools/ImtCore] b351dba | Copilot | Handle missing RequestManager in subscription response dispatch
- [ImagingTools/ImtCore] b8f6e17 | Copilot | Add Qt::GuiPrivate, Qt::OpenGL, Qt::OpenGLWidgets to CMake (fixes QRhi header not found)
- [ImagingTools/ImtCore] d6fc83d | Copilot | Align QMake build with CMake: add missing modules (#450)
- [ImagingTools/ImtCore] d960eb8 | Copilot | Polish lambda pointer constness in QPointer fix
- [ImagingTools/ImtCore] f5b597e | Copilot | Extend CreateNewDocument with optional proposed source id

2026-05-12 (54 Commits)
- [ImagingTools/ImtCore] 05c1406 | Copilot | Remove node_modules additions from PR — restore to origin/main state
- [ImagingTools/ImtCore] 05c59a9 | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] 0b27cf6 | kucherenkord-cyber | WebCompiler.cmake QML module path fix
- [ImagingTools/ImtCore] 0c371e3 | Copilot | Remove node_modules additions from PR
- [ImagingTools/ImtCore] 11b27de | 0x435641 | Merge pull request #458 from ImagingTools/copilot/replace-qt-gui-private-linkage
- [ImagingTools/ImtCore] 12871ef | Copilot | Tenant creator gets ADMIN role (immutable) + JQML v2 Menu components
- [ImagingTools/ImtCore] 1bf818d | Copilot | Include invited tenants in GetTenantList via DB delegate, add "I am invited" filter, remove old panel
- [ImagingTools/ImtCore] 1fe50db | Copilot | Fix popup closePolicy: use CloseOnPressOutside for proper dismiss behavior
- [ImagingTools/ImtCore] 201c6bb | Copilot | Refactor CTenantDbDelegateComp: remove mutable state, override GetSelectionQuery/GetCountQuery directly
- [ImagingTools/ImtCore] 27a40b9 | Copilot | Fix "Cannot redefine property: pressed" — remove pressed from Overlay defaultSignals since it conflicts with pressed in defaultProperties, rebuild main.js
- [ImagingTools/ImtCore] 29519ee | ExternalVladimirCherepanov | imt3dgui cmake fixed
- [ImagingTools/ImtCore] 2b059c6 | Copilot | Replace Qt::GuiPrivate linkage with target_include_directories for Qt 6.8+
- [ImagingTools/ImtCore] 2e25f82 | Copilot | Improve empty filter check: use regex to handle whitespace variations in empty parens
- [ImagingTools/ImtCore] 2f14c90 | kucherenkord-cyber | Merge branch 'copilot/add-cremote-tenant-membership-manager-controller-c' of https://github.com/ImagingTools/ImtCore into copilot/add-cremote-tenant-membership-manager-controller-c
- [ImagingTools/ImtCore] 38498f1 | Copilot | Fix: remove invitations from UI only after server confirms success
- [ImagingTools/ImtCore] 48a3f9b | Copilot | Remove accidentally added node_modules files
- [ImagingTools/ImtCore] 4c5421c | Copilot | Add TenantInvitation ACC files for Postgres and SQLite repositories
- [ImagingTools/ImtCore] 4edda38 | kucherenkord-cyber | Partitura corrected
- [ImagingTools/ImtCore] 51b7d98 | Copilot | Remove node_modules additions from PR changes
- [ImagingTools/ImtCore] 626d4b5 | Copilot | Fix #include error: use target_link_libraries Qt::Gui instead of target_include_directories genex
- [ImagingTools/ImtCore] 62e5622 | Copilot | Auto-create OWNER membership for tenant creator in CTenantCollectionDocumentManagerComp
- [ImagingTools/ImtCore] 63e78be | Copilot | Revert node_modules to match origin/main — remove from PR changes
- [ImagingTools/ImtCore] 73554dc | Copilot | Refactor tenantRelationScope column: show text with popup on hover for Invited
- [ImagingTools/ImtCore] 7612303 | kucherenkord-cyber | Merge branch 'main' into copilot/review-tenant-entity-bindings-logic
- [ImagingTools/ImtCore] 7e7ec97 | kucherenkord-cyber | Merge branch 'main' into webcompiler-fix
- [ImagingTools/ImtCore] 7f5421c | Copilot | Use Qt::Gui instead of Qt::GuiPrivate for include directories lookup
- [ImagingTools/ImtCore] 8169891 | Copilot | Fix Popup geometry: use explicit null checks for x/y/w/h (avoid falsy 0 bug)
- [ImagingTools/ImtCore] 879964a | Artur1309 | Merge pull request #460 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] 8c39979 | SERZSH1909 | Add ImtCoreQtRhiCompat.cmake for Qt 6.8+ compatibility and update conanfile.py
- [ImagingTools/ImtCore] 90ad902 | Copilot | Fix SQL errors and add Owner protection in GUI
- [ImagingTools/ImtCore] 93d49b0 | 0x435641 | Merge pull request #455 from ImagingTools/TestFixes
- [ImagingTools/ImtCore] 9d917d9 | Artur1309 | update tests
- [ImagingTools/ImtCore] 9d96aaa | Copilot | Address code review: use named constants for TenantRelationScope and invitation status
- [ImagingTools/ImtCore] 9d998f1 | kucherenkord-cyber | Merge branch 'main' into copilot/review-tenant-entity-bindings-logic
- [ImagingTools/ImtCore] 9e34131 | Copilot | Add JQML v2 Popup, Overlay, Dialog, ToolTip, Drawer components
- [ImagingTools/ImtCore] b06213f | kucherenkord-cyber | Merge pull request #449 from ImagingTools/copilot/review-tenant-entity-bindings-logic
- [ImagingTools/ImtCore] b580892 | Copilot | Fix GuiPrivate include dirs: use generator expression instead of get_target_property
- [ImagingTools/ImtCore] b8c0567 | Copilot | Refactor: add TenantRelationScope as computed column via GetBaseSelectionQuery
- [ImagingTools/ImtCore] ba2f6c4 | ShcherbinaVA | Merge branch 'main' into copilot/add-i-ref-to-cwebsocketservletcomp
